Year, Number of Households
800, 10
801, 12
802, 11
803, 10
804, 11
805, 12
806, 12
807, 12
808, 10
809, 11
810, 12
811, 14
812, 13
813, 13
814, 14
815, 14
816, 12
817, 13
818, 14
819, 13
820, 13
821, 13
822, 14
823, 14
824, 14
825, 15
826, 15
827, 15
828, 15
829, 16
830, 17
831, 16
832, 16
833, 16
834, 16
835, 15
836, 15
837, 15
838, 14
839, 14
840, 15
841, 15
842, 15
843, 16
844, 15
845, 16
846, 17
847, 15
848, 15
849, 15
850, 17
851, 17
852, 16
853, 16
854, 16
855, 16
856, 15
857, 15
858, 15
859, 15
860, 14
861, 12
862, 12
863, 13
864, 13
865, 13
866, 13
867, 11
868, 11
869, 11
870, 12
871, 13
872, 13
873, 13
874, 13
875, 12
876, 11
877, 11
878, 10
879, 8
880, 8
881, 8
882, 8
883, 9
884, 9
885, 8
886, 7
887, 6
888, 7
889, 7
890, 8
891, 8
892, 8
893, 9
894, 9
895, 9
896, 9
897, 9
898, 9
899, 8
900, 8
901, 9
902, 9
903, 10
904, 9
905, 9
906, 9
907, 9
908, 9
909, 9
910, 10
911, 10
912, 10
913, 10
914, 10
915, 11
916, 11
917, 10
918, 10
919, 10
920, 11
921, 11
922, 11
923, 11
924, 11
925, 11
926, 11
927, 10
928, 11
929, 11
930, 10
931, 12
932, 12
933, 14
934, 14
935, 14
936, 15
937, 15
938, 16
939, 15
940, 15
941, 14
942, 14
943, 13
944, 13
945, 13
946, 13
947, 14
948, 13
949, 13
950, 12
951, 15
952, 16
953, 15
954, 13
955, 13
956, 14
957, 14
958, 15
959, 16
960, 16
961, 16
962, 16
963, 15
964, 15
965, 15
966, 15
967, 15
968, 15
969, 15
970, 15
971, 15
972, 15
973, 16
974, 17
975, 17
976, 18
977, 18
978, 21
979, 21
980, 19
981, 19
982, 20
983, 21
984, 22
985, 23
986, 21
987, 21
988, 20
989, 20
990, 21
991, 20
992, 21
993, 22
994, 23
995, 25
996, 27
997, 28
998, 29
999, 28
1000, 27
1001, 28
1002, 28
1003, 29
1004, 28
1005, 28
1006, 28
1007, 28
1008, 29
1009, 30
1010, 30
1011, 35
1012, 33
1013, 34
1014, 33
1015, 32
1016, 32
1017, 34
1018, 35
1019, 35
1020, 36
1021, 36
1022, 36
1023, 37
1024, 36
1025, 35
1026, 35
1027, 35
1028, 33
1029, 34
1030, 36
1031, 35
1032, 34
1033, 33
1034, 33
1035, 35
1036, 36
1037, 37
1038, 41
1039, 40
1040, 40
1041, 38
1042, 37
1043, 37
1044, 39
1045, 42
1046, 39
1047, 38
1048, 37
1049, 37
1050, 39
1051, 36
1052, 37
1053, 38
1054, 40
1055, 39
1056, 41
1057, 40
1058, 39
1059, 38
1060, 37
1061, 37
1062, 37
1063, 38
1064, 40
1065, 41
1066, 42
1067, 44
1068, 45
1069, 41
1070, 42
1071, 42
1072, 43
1073, 45
1074, 44
1075, 46
1076, 47
1077, 47
1078, 46
1079, 46
1080, 45
1081, 47
1082, 48
1083, 48
1084, 48
1085, 50
1086, 50
1087, 49
1088, 53
1089, 55
1090, 56
1091, 59
1092, 58
1093, 58
1094, 58
1095, 59
1096, 59
1097, 59
1098, 59
1099, 59
1100, 57
1101, 56
1102, 55
1103, 55
1104, 57
1105, 60
1106, 58
1107, 60
1108, 64
1109, 64
1110, 66
1111, 66
1112, 65
1113, 65
1114, 63
1115, 61
1116, 62
1117, 62
1118, 59
1119, 59
1120, 57
1121, 58
1122, 56
1123, 57
1124, 57
1125, 60
1126, 63
1127, 64
1128, 66
1129, 64
1130, 64
1131, 62
1132, 61
1133, 61
1134, 59
1135, 55
1136, 56
1137, 57
1138, 59
1139, 62
1140, 61
1141, 61
1142, 60
1143, 57
1144, 59
1145, 58
1146, 59
1147, 58
1148, 59
1149, 61
1150, 62
1151, 61
1152, 57
1153, 60
1154, 60
1155, 62
1156, 62
1157, 61
1158, 62
1159, 62
1160, 59
1161, 58
1162, 60
1163, 59
1164, 59
1165, 59
1166, 62
1167, 63
1168, 63
1169, 65
1170, 68
1171, 66
1172, 67
1173, 67
1174, 70
1175, 68
1176, 69
1177, 69
1178, 68
1179, 68
1180, 63
1181, 65
1182, 67
1183, 69
1184, 68
1185, 68
1186, 71
1187, 71
1188, 71
1189, 75
1190, 73
1191, 73
1192, 74
1193, 72
1194, 77
1195, 80
1196, 76
1197, 75
1198, 75
1199, 74
1200, 75
1201, 75
1202, 76
1203, 79
1204, 81
1205, 83
1206, 87
1207, 88
1208, 88
1209, 92
1210, 94
1211, 94
1212, 94
1213, 94
1214, 94
1215, 94
1216, 97
1217, 100
1218, 103
1219, 111
1220, 111
1221, 111
1222, 109
1223, 106
1224, 108
1225, 106
1226, 104
1227, 106
1228, 110
1229, 112
1230, 109
1231, 109
1232, 108
1233, 105
1234, 106
1235, 105
1236, 105
1237, 109
1238, 108
1239, 108
1240, 108
1241, 110
1242, 108
1243, 113
1244, 110
1245, 109
1246, 109
1247, 107
1248, 109
1249, 109
1250, 107
