Year, Number of Households
800, 14
801, 15
802, 16
803, 15
804, 14
805, 15
806, 12
807, 12
808, 11
809, 12
810, 12
811, 12
812, 11
813, 11
814, 11
815, 12
816, 11
817, 10
818, 9
819, 9
820, 8
821, 9
822, 9
823, 9
824, 8
825, 10
826, 11
827, 11
828, 12
829, 13
830, 12
831, 12
832, 12
833, 11
834, 12
835, 12
836, 12
837, 12
838, 12
839, 12
840, 13
841, 13
842, 13
843, 12
844, 13
845, 12
846, 13
847, 13
848, 14
849, 15
850, 16
851, 17
852, 16
853, 17
854, 18
855, 19
856, 20
857, 20
858, 19
859, 19
860, 17
861, 17
862, 17
863, 16
864, 16
865, 16
866, 16
867, 16
868, 13
869, 14
870, 15
871, 16
872, 18
873, 18
874, 19
875, 20
876, 21
877, 22
878, 21
879, 22
880, 21
881, 21
882, 21
883, 20
884, 19
885, 18
886, 16
887, 15
888, 15
889, 16
890, 17
891, 17
892, 17
893, 19
894, 21
895, 21
896, 22
897, 22
898, 27
899, 29
900, 30
901, 30
902, 28
903, 28
904, 28
905, 29
906, 27
907, 28
908, 26
909, 27
910, 27
911, 28
912, 26
913, 27
914, 27
915, 29
916, 29
917, 33
918, 36
919, 39
920, 40
921, 42
922, 44
923, 46
924, 46
925, 48
926, 50
927, 50
928, 50
929, 50
930, 50
931, 48
932, 44
933, 44
934, 45
935, 45
936, 46
937, 46
938, 48
939, 51
940, 50
941, 54
942, 55
943, 55
944, 58
945, 61
946, 62
947, 64
948, 68
949, 72
950, 70
951, 68
952, 66
953, 68
954, 66
955, 65
956, 65
957, 63
958, 63
959, 62
960, 65
961, 67
962, 68
963, 69
964, 71
965, 71
966, 73
967, 77
968, 82
969, 87
970, 88
971, 91
972, 93
973, 98
974, 100
975, 100
976, 99
977, 97
978, 95
979, 93
980, 95
981, 95
982, 97
983, 97
984, 96
985, 99
986, 103
987, 104
988, 107
989, 110
990, 114
991, 120
992, 121
993, 123
994, 128
995, 127
996, 130
997, 132
998, 131
999, 130
1000, 127
1001, 125
1002, 122
1003, 121
1004, 123
1005, 124
1006, 123
1007, 122
1008, 120
1009, 118
1010, 120
1011, 121
1012, 122
1013, 128
1014, 133
1015, 139
1016, 143
1017, 144
1018, 145
1019, 149
1020, 150
1021, 147
1022, 148
1023, 148
1024, 148
1025, 148
1026, 146
1027, 147
1028, 144
1029, 149
1030, 150
1031, 152
1032, 154
1033, 153
1034, 158
1035, 159
1036, 161
1037, 165
1038, 162
1039, 170
1040, 171
1041, 179
1042, 184
1043, 191
1044, 189
1045, 193
1046, 191
1047, 193
1048, 192
1049, 192
1050, 196
1051, 195
1052, 195
1053, 196
1054, 195
1055, 198
1056, 207
1057, 207
1058, 212
1059, 216
1060, 222
1061, 223
1062, 222
1063, 222
1064, 233
1065, 246
1066, 248
1067, 255
1068, 263
1069, 261
1070, 265
1071, 270
1072, 269
1073, 267
1074, 268
1075, 272
1076, 274
1077, 285
1078, 284
1079, 287
1080, 281
1081, 281
1082, 292
1083, 295
1084, 299
1085, 302
1086, 313
1087, 312
1088, 315
1089, 322
1090, 321
1091, 322
1092, 328
1093, 328
1094, 334
1095, 336
1096, 335
1097, 335
1098, 338
1099, 336
1100, 342
1101, 343
1102, 346
1103, 351
1104, 359
1105, 358
1106, 354
1107, 359
1108, 364
1109, 364
1110, 368
1111, 369
1112, 374
1113, 382
1114, 379
1115, 377
1116, 378
1117, 380
1118, 378
1119, 383
1120, 371
1121, 370
1122, 375
1123, 373
1124, 373
1125, 377
1126, 366
1127, 366
1128, 360
1129, 370
1130, 369
1131, 357
1132, 355
1133, 356
1134, 348
1135, 347
1136, 341
1137, 339
1138, 336
1139, 325
1140, 322
1141, 321
1142, 313
1143, 308
1144, 301
1145, 302
1146, 300
1147, 292
1148, 294
1149, 288
1150, 287
1151, 282
1152, 282
1153, 277
1154, 276
1155, 268
1156, 264
1157, 263
1158, 263
1159, 255
1160, 250
1161, 245
1162, 245
1163, 243
1164, 241
1165, 234
1166, 239
1167, 229
1168, 229
1169, 227
1170, 226
1171, 221
1172, 219
1173, 221
1174, 219
1175, 216
1176, 216
1177, 214
1178, 211
1179, 208
1180, 209
1181, 210
1182, 209
1183, 210
1184, 211
1185, 205
1186, 201
1187, 206
1188, 201
1189, 200
1190, 201
1191, 196
1192, 192
1193, 197
1194, 196
1195, 188
1196, 191
1197, 190
1198, 191
1199, 189
1200, 192
1201, 187
1202, 187
1203, 187
1204, 188
1205, 186
1206, 187
1207, 180
1208, 180
1209, 176
1210, 178
1211, 175
1212, 174
1213, 172
1214, 171
1215, 169
1216, 172
1217, 174
1218, 170
1219, 167
1220, 164
1221, 160
1222, 166
1223, 168
1224, 168
1225, 167
1226, 164
1227, 160
1228, 159
1229, 153
1230, 155
1231, 156
1232, 157
1233, 152
1234, 156
1235, 154
1236, 149
1237, 147
1238, 151
1239, 147
1240, 150
1241, 149
1242, 146
1243, 149
1244, 147
1245, 143
1246, 141
1247, 142
1248, 146
1249, 142
1250, 144
