Year, Number of Households
800, 14
801, 15
802, 15
803, 15
804, 16
805, 16
806, 14
807, 16
808, 15
809, 16
810, 15
811, 17
812, 16
813, 16
814, 17
815, 17
816, 15
817, 15
818, 15
819, 14
820, 14
821, 14
822, 14
823, 14
824, 13
825, 13
826, 13
827, 14
828, 14
829, 15
830, 15
831, 15
832, 17
833, 18
834, 18
835, 17
836, 18
837, 15
838, 15
839, 15
840, 15
841, 14
842, 14
843, 14
844, 13
845, 12
846, 12
847, 13
848, 12
849, 12
850, 12
851, 12
852, 12
853, 12
854, 14
855, 15
856, 15
857, 16
858, 16
859, 16
860, 15
861, 14
862, 14
863, 13
864, 13
865, 13
866, 13
867, 13
868, 13
869, 13
870, 12
871, 12
872, 12
873, 11
874, 13
875, 13
876, 13
877, 12
878, 13
879, 16
880, 16
881, 16
882, 16
883, 16
884, 15
885, 15
886, 14
887, 13
888, 13
889, 12
890, 11
891, 9
892, 9
893, 10
894, 10
895, 10
896, 10
897, 10
898, 10
899, 10
900, 9
901, 9
902, 10
903, 11
904, 12
905, 12
906, 11
907, 10
908, 8
909, 8
910, 8
911, 8
912, 8
913, 8
914, 8
915, 7
916, 6
917, 6
918, 6
919, 6
920, 6
921, 6
922, 6
923, 5
924, 4
925, 5
926, 5
927, 5
928, 6
929, 7
930, 7
931, 7
932, 7
933, 8
934, 9
935, 8
936, 8
937, 8
938, 8
939, 7
940, 7
941, 6
942, 6
943, 6
944, 6
945, 5
946, 5
947, 5
948, 6
949, 8
950, 9
951, 10
952, 9
953, 10
954, 10
955, 11
956, 11
957, 11
958, 11
959, 11
960, 11
961, 11
962, 11
963, 10
964, 10
965, 10
966, 10
967, 10
968, 11
969, 11
970, 9
971, 9
972, 11
973, 12
974, 12
975, 14
976, 16
977, 16
978, 17
979, 17
980, 16
981, 16
982, 14
983, 14
984, 14
985, 13
986, 13
987, 13
988, 14
989, 14
990, 13
991, 13
992, 13
993, 14
994, 14
995, 15
996, 14
997, 15
998, 15
999, 16
1000, 16
1001, 17
1002, 16
1003, 16
1004, 17
1005, 17
1006, 17
1007, 16
1008, 14
1009, 14
1010, 13
1011, 11
1012, 10
1013, 10
1014, 10
1015, 10
1016, 10
1017, 10
1018, 10
1019, 10
1020, 12
1021, 12
1022, 12
1023, 12
1024, 12
1025, 13
1026, 14
1027, 14
1028, 14
1029, 14
1030, 13
1031, 13
1032, 13
1033, 13
1034, 12
1035, 8
1036, 7
1037, 7
1038, 7
1039, 7
1040, 7
1041, 7
1042, 8
1043, 8
1044, 8
1045, 8
1046, 9
1047, 10
1048, 10
1049, 8
1050, 9
1051, 10
1052, 10
1053, 11
1054, 10
1055, 10
1056, 9
1057, 8
1058, 8
1059, 8
1060, 8
1061, 8
1062, 8
1063, 8
1064, 7
1065, 8
1066, 9
1067, 9
1068, 9
1069, 9
1070, 9
1071, 9
1072, 10
1073, 11
1074, 11
1075, 14
1076, 15
1077, 16
1078, 14
1079, 13
1080, 13
1081, 13
1082, 13
1083, 12
1084, 12
1085, 10
1086, 10
1087, 10
1088, 10
1089, 10
1090, 11
1091, 12
1092, 12
1093, 12
1094, 10
1095, 11
1096, 12
1097, 12
1098, 14
1099, 14
1100, 15
1101, 15
1102, 15
1103, 15
1104, 13
1105, 13
1106, 12
1107, 11
1108, 11
1109, 11
1110, 10
1111, 10
1112, 9
1113, 8
1114, 9
1115, 10
1116, 11
1117, 11
1118, 12
1119, 13
1120, 12
1121, 12
1122, 13
1123, 13
1124, 13
1125, 13
1126, 12
1127, 11
1128, 10
1129, 10
1130, 10
1131, 9
1132, 7
1133, 7
1134, 7
1135, 7
1136, 7
1137, 7
1138, 7
1139, 7
1140, 7
1141, 8
1142, 7
1143, 6
1144, 6
1145, 7
1146, 8
1147, 8
1148, 8
1149, 7
1150, 7
1151, 6
1152, 4
1153, 4
1154, 3
1155, 3
1156, 3
1157, 3
1158, 3
1159, 3
1160, 3
1161, 3
1162, 3
1163, 3
1164, 4
1165, 4
1166, 5
1167, 6
1168, 6
1169, 6
1170, 6
1171, 6
1172, 6
1173, 6
1174, 6
1175, 4
1176, 4
1177, 4
1178, 3
1179, 3
1180, 3
1181, 3
1182, 3
1183, 3
1184, 3
1185, 3
1186, 4
1187, 4
1188, 4
1189, 4
1190, 5
1191, 5
1192, 6
1193, 6
1194, 6
1195, 6
1196, 6
1197, 6
1198, 6
1199, 6
1200, 3
1201, 3
1202, 3
1203, 3
1204, 3
1205, 3
1206, 3
1207, 3
1208, 3
1209, 3
1210, 3
1211, 3
1212, 3
1213, 3
1214, 3
1215, 3
1216, 3
1217, 2
1218, 2
1219, 2
1220, 1
1221, 1
1222, 1
1223, 0
1224, 0
1225, 0
1226, 0
1227, 0
1228, 0
1229, 0
1230, 0
1231, 0
1232, 0
1233, 0
1234, 0
1235, 0
1236, 0
1237, 0
1238, 0
1239, 0
1240, 0
1241, 0
1242, 0
1243, 0
1244, 0
1245, 0
1246, 0
1247, 0
1248, 0
1249, 0
1250, 0
