Year, Number of Households
800, 14
801, 15
802, 15
803, 16
804, 16
805, 17
806, 17
807, 16
808, 14
809, 15
810, 15
811, 15
812, 13
813, 13
814, 13
815, 12
816, 12
817, 12
818, 11
819, 10
820, 10
821, 11
822, 11
823, 11
824, 12
825, 12
826, 13
827, 13
828, 14
829, 15
830, 15
831, 15
832, 16
833, 15
834, 13
835, 11
836, 11
837, 10
838, 10
839, 10
840, 10
841, 9
842, 9
843, 9
844, 9
845, 10
846, 11
847, 10
848, 10
849, 11
850, 11
851, 12
852, 11
853, 11
854, 11
855, 9
856, 10
857, 10
858, 10
859, 10
860, 11
861, 9
862, 8
863, 8
864, 8
865, 8
866, 9
867, 9
868, 10
869, 10
870, 10
871, 10
872, 10
873, 12
874, 11
875, 10
876, 10
877, 10
878, 12
879, 12
880, 11
881, 11
882, 11
883, 12
884, 13
885, 14
886, 16
887, 15
888, 15
889, 15
890, 13
891, 13
892, 13
893, 13
894, 13
895, 13
896, 13
897, 12
898, 11
899, 11
900, 11
901, 12
902, 10
903, 11
904, 11
905, 12
906, 12
907, 11
908, 13
909, 13
910, 13
911, 14
912, 14
913, 14
914, 14
915, 12
916, 11
917, 11
918, 10
919, 9
920, 8
921, 7
922, 7
923, 7
924, 8
925, 8
926, 8
927, 9
928, 10
929, 12
930, 13
931, 12
932, 13
933, 14
934, 14
935, 14
936, 14
937, 13
938, 11
939, 12
940, 12
941, 12
942, 12
943, 12
944, 11
945, 10
946, 10
947, 10
948, 10
949, 12
950, 13
951, 15
952, 15
953, 15
954, 14
955, 15
956, 14
957, 14
958, 14
959, 13
960, 14
961, 14
962, 13
963, 13
964, 13
965, 12
966, 11
967, 12
968, 12
969, 12
970, 12
971, 12
972, 13
973, 15
974, 15
975, 18
976, 18
977, 21
978, 21
979, 20
980, 20
981, 18
982, 19
983, 18
984, 18
985, 18
986, 18
987, 19
988, 18
989, 17
990, 17
991, 18
992, 19
993, 18
994, 16
995, 17
996, 17
997, 18
998, 20
999, 22
1000, 23
1001, 22
1002, 25
1003, 25
1004, 25
1005, 22
1006, 21
1007, 21
1008, 21
1009, 20
1010, 20
1011, 18
1012, 19
1013, 20
1014, 19
1015, 20
1016, 20
1017, 20
1018, 20
1019, 19
1020, 19
1021, 20
1022, 21
1023, 22
1024, 23
1025, 23
1026, 25
1027, 25
1028, 25
1029, 25
1030, 26
1031, 24
1032, 22
1033, 20
1034, 20
1035, 20
1036, 18
1037, 18
1038, 18
1039, 18
1040, 18
1041, 18
1042, 20
1043, 20
1044, 20
1045, 19
1046, 19
1047, 21
1048, 21
1049, 21
1050, 23
1051, 22
1052, 22
1053, 22
1054, 21
1055, 20
1056, 19
1057, 18
1058, 17
1059, 16
1060, 16
1061, 16
1062, 14
1063, 13
1064, 12
1065, 13
1066, 13
1067, 14
1068, 16
1069, 17
1070, 17
1071, 18
1072, 17
1073, 17
1074, 16
1075, 15
1076, 15
1077, 13
1078, 13
1079, 13
1080, 14
1081, 14
1082, 14
1083, 14
1084, 12
1085, 12
1086, 12
1087, 11
1088, 12
1089, 13
1090, 14
1091, 15
1092, 16
1093, 18
1094, 20
1095, 21
1096, 21
1097, 20
1098, 22
1099, 22
1100, 22
1101, 22
1102, 22
1103, 21
1104, 20
1105, 20
1106, 20
1107, 20
1108, 19
1109, 19
1110, 20
1111, 22
1112, 23
1113, 23
1114, 24
1115, 24
1116, 25
1117, 25
1118, 26
1119, 29
1120, 29
1121, 29
1122, 28
1123, 28
1124, 26
1125, 25
1126, 24
1127, 24
1128, 22
1129, 20
1130, 20
1131, 20
1132, 20
1133, 23
1134, 24
1135, 25
1136, 26
1137, 27
1138, 27
1139, 27
1140, 26
1141, 27
1142, 28
1143, 28
1144, 29
1145, 26
1146, 24
1147, 25
1148, 24
1149, 23
1150, 22
1151, 21
1152, 22
1153, 22
1154, 20
1155, 19
1156, 19
1157, 19
1158, 19
1159, 19
1160, 19
1161, 20
1162, 20
1163, 18
1164, 22
1165, 22
1166, 20
1167, 17
1168, 17
1169, 17
1170, 16
1171, 17
1172, 17
1173, 17
1174, 17
1175, 17
1176, 15
1177, 15
1178, 15
1179, 16
1180, 16
1181, 15
1182, 15
1183, 15
1184, 17
1185, 16
1186, 17
1187, 18
1188, 19
1189, 20
1190, 20
1191, 21
1192, 21
1193, 23
1194, 22
1195, 22
1196, 21
1197, 21
1198, 19
1199, 19
1200, 20
1201, 21
1202, 18
1203, 19
1204, 20
1205, 21
1206, 23
1207, 22
1208, 23
1209, 22
1210, 23
1211, 24
1212, 23
1213, 22
1214, 24
1215, 23
1216, 22
1217, 23
1218, 20
1219, 20
1220, 20
1221, 21
1222, 19
1223, 19
1224, 20
1225, 21
1226, 21
1227, 21
1228, 20
1229, 21
1230, 23
1231, 23
1232, 23
1233, 22
1234, 21
1235, 22
1236, 22
1237, 22
1238, 23
1239, 23
1240, 21
1241, 22
1242, 21
1243, 21
1244, 22
1245, 23
1246, 23
1247, 24
1248, 23
1249, 22
1250, 21
