Year, Number of Households
800, 8
801, 8
802, 9
803, 9
804, 11
805, 11
806, 11
807, 11
808, 11
809, 9
810, 9
811, 9
812, 9
813, 9
814, 8
815, 8
816, 9
817, 7
818, 7
819, 8
820, 8
821, 8
822, 7
823, 7
824, 8
825, 8
826, 9
827, 10
828, 11
829, 11
830, 11
831, 11
832, 11
833, 10
834, 9
835, 9
836, 9
837, 9
838, 8
839, 7
840, 7
841, 7
842, 7
843, 7
844, 7
845, 7
846, 8
847, 8
848, 9
849, 10
850, 10
851, 10
852, 9
853, 8
854, 8
855, 7
856, 6
857, 6
858, 6
859, 6
860, 6
861, 5
862, 5
863, 5
864, 4
865, 4
866, 4
867, 5
868, 4
869, 4
870, 4
871, 5
872, 5
873, 5
874, 6
875, 6
876, 5
877, 5
878, 5
879, 5
880, 5
881, 5
882, 5
883, 5
884, 4
885, 4
886, 3
887, 3
888, 4
889, 4
890, 5
891, 6
892, 6
893, 7
894, 7
895, 7
896, 7
897, 7
898, 8
899, 8
900, 8
901, 9
902, 9
903, 8
904, 8
905, 8
906, 8
907, 7
908, 7
909, 6
910, 6
911, 6
912, 7
913, 6
914, 7
915, 9
916, 9
917, 9
918, 8
919, 8
920, 8
921, 8
922, 8
923, 7
924, 8
925, 8
926, 8
927, 8
928, 8
929, 7
930, 7
931, 6
932, 6
933, 5
934, 5
935, 5
936, 5
937, 4
938, 5
939, 5
940, 6
941, 7
942, 8
943, 8
944, 8
945, 9
946, 9
947, 10
948, 9
949, 9
950, 7
951, 7
952, 7
953, 7
954, 7
955, 7
956, 7
957, 7
958, 8
959, 7
960, 8
961, 9
962, 10
963, 10
964, 11
965, 12
966, 12
967, 13
968, 14
969, 14
970, 14
971, 15
972, 15
973, 16
974, 14
975, 14
976, 14
977, 13
978, 13
979, 13
980, 13
981, 13
982, 13
983, 14
984, 14
985, 15
986, 15
987, 15
988, 15
989, 16
990, 16
991, 17
992, 18
993, 19
994, 19
995, 19
996, 19
997, 17
998, 15
999, 17
1000, 16
1001, 15
1002, 14
1003, 13
1004, 13
1005, 14
1006, 13
1007, 13
1008, 14
1009, 14
1010, 14
1011, 16
1012, 15
1013, 16
1014, 15
1015, 15
1016, 15
1017, 14
1018, 13
1019, 13
1020, 14
1021, 14
1022, 14
1023, 14
1024, 14
1025, 14
1026, 13
1027, 12
1028, 13
1029, 13
1030, 12
1031, 12
1032, 11
1033, 11
1034, 11
1035, 11
1036, 11
1037, 10
1038, 9
1039, 9
1040, 10
1041, 9
1042, 9
1043, 7
1044, 7
1045, 6
1046, 6
1047, 6
1048, 6
1049, 7
1050, 7
1051, 6
1052, 5
1053, 5
1054, 4
1055, 4
1056, 4
1057, 4
1058, 4
1059, 5
1060, 5
1061, 5
1062, 6
1063, 6
1064, 6
1065, 7
1066, 8
1067, 8
1068, 7
1069, 7
1070, 7
1071, 7
1072, 7
1073, 8
1074, 8
1075, 8
1076, 7
1077, 7
1078, 7
1079, 7
1080, 7
1081, 7
1082, 8
1083, 8
1084, 8
1085, 10
1086, 10
1087, 11
1088, 11
1089, 11
1090, 12
1091, 13
1092, 13
1093, 12
1094, 12
1095, 12
1096, 12
1097, 12
1098, 12
1099, 11
1100, 11
1101, 10
1102, 10
1103, 11
1104, 11
1105, 11
1106, 11
1107, 13
1108, 15
1109, 15
1110, 18
1111, 16
1112, 16
1113, 17
1114, 17
1115, 18
1116, 16
1117, 16
1118, 16
1119, 16
1120, 14
1121, 13
1122, 12
1123, 12
1124, 12
1125, 12
1126, 11
1127, 11
1128, 12
1129, 15
1130, 17
1131, 19
1132, 19
1133, 19
1134, 19
1135, 21
1136, 22
1137, 20
1138, 19
1139, 18
1140, 15
1141, 15
1142, 15
1143, 15
1144, 15
1145, 14
1146, 14
1147, 14
1148, 13
1149, 13
1150, 13
1151, 14
1152, 15
1153, 14
1154, 14
1155, 14
1156, 14
1157, 15
1158, 18
1159, 18
1160, 18
1161, 16
1162, 15
1163, 17
1164, 16
1165, 14
1166, 13
1167, 12
1168, 11
1169, 11
1170, 11
1171, 11
1172, 12
1173, 12
1174, 11
1175, 12
1176, 13
1177, 13
1178, 14
1179, 15
1180, 15
1181, 16
1182, 17
1183, 17
1184, 18
1185, 19
1186, 17
1187, 17
1188, 17
1189, 17
1190, 15
1191, 15
1192, 16
1193, 17
1194, 16
1195, 15
1196, 15
1197, 16
1198, 17
1199, 17
1200, 17
1201, 18
1202, 17
1203, 20
1204, 20
1205, 20
1206, 20
1207, 22
1208, 22
1209, 23
1210, 23
1211, 22
1212, 23
1213, 22
1214, 22
1215, 23
1216, 22
1217, 23
1218, 25
1219, 26
1220, 27
1221, 27
1222, 25
1223, 25
1224, 26
1225, 25
1226, 26
1227, 28
1228, 29
1229, 28
1230, 27
1231, 26
1232, 25
1233, 27
1234, 27
1235, 28
1236, 27
1237, 27
1238, 27
1239, 25
1240, 27
1241, 28
1242, 28
1243, 25
1244, 23
1245, 24
1246, 25
1247, 24
1248, 25
1249, 25
1250, 24
