Year, Number of Households
800, 14
801, 16
802, 17
803, 18
804, 19
805, 19
806, 19
807, 19
808, 17
809, 16
810, 17
811, 17
812, 18
813, 18
814, 17
815, 18
816, 17
817, 17
818, 17
819, 15
820, 14
821, 15
822, 16
823, 18
824, 19
825, 19
826, 22
827, 23
828, 23
829, 24
830, 23
831, 22
832, 23
833, 23
834, 22
835, 21
836, 22
837, 24
838, 23
839, 24
840, 22
841, 22
842, 22
843, 22
844, 23
845, 21
846, 22
847, 23
848, 23
849, 26
850, 25
851, 26
852, 25
853, 26
854, 27
855, 27
856, 25
857, 25
858, 26
859, 24
860, 22
861, 21
862, 19
863, 18
864, 19
865, 21
866, 21
867, 20
868, 22
869, 22
870, 23
871, 24
872, 25
873, 26
874, 28
875, 27
876, 28
877, 31
878, 32
879, 30
880, 30
881, 30
882, 28
883, 27
884, 26
885, 25
886, 26
887, 25
888, 23
889, 25
890, 26
891, 28
892, 28
893, 29
894, 28
895, 28
896, 30
897, 29
898, 29
899, 29
900, 31
901, 29
902, 27
903, 26
904, 25
905, 26
906, 23
907, 22
908, 21
909, 20
910, 18
911, 18
912, 18
913, 19
914, 20
915, 19
916, 19
917, 20
918, 21
919, 20
920, 22
921, 23
922, 23
923, 21
924, 21
925, 22
926, 19
927, 19
928, 19
929, 19
930, 19
931, 19
932, 18
933, 18
934, 16
935, 15
936, 15
937, 15
938, 15
939, 16
940, 17
941, 19
942, 20
943, 20
944, 19
945, 18
946, 18
947, 18
948, 17
949, 18
950, 19
951, 18
952, 17
953, 18
954, 15
955, 15
956, 15
957, 15
958, 14
959, 15
960, 15
961, 15
962, 14
963, 15
964, 15
965, 15
966, 15
967, 15
968, 14
969, 15
970, 14
971, 14
972, 14
973, 13
974, 13
975, 12
976, 13
977, 14
978, 13
979, 13
980, 12
981, 11
982, 11
983, 11
984, 11
985, 11
986, 11
987, 10
988, 11
989, 10
990, 11
991, 11
992, 11
993, 12
994, 12
995, 14
996, 14
997, 14
998, 16
999, 15
1000, 15
1001, 16
1002, 16
1003, 16
1004, 16
1005, 14
1006, 14
1007, 14
1008, 14
1009, 14
1010, 13
1011, 13
1012, 14
1013, 16
1014, 17
1015, 20
1016, 20
1017, 19
1018, 21
1019, 22
1020, 23
1021, 23
1022, 23
1023, 24
1024, 23
1025, 24
1026, 25
1027, 25
1028, 26
1029, 24
1030, 23
1031, 23
1032, 25
1033, 25
1034, 23
1035, 23
1036, 24
1037, 24
1038, 26
1039, 27
1040, 28
1041, 29
1042, 31
1043, 34
1044, 34
1045, 33
1046, 33
1047, 32
1048, 32
1049, 32
1050, 33
1051, 33
1052, 33
1053, 32
1054, 29
1055, 29
1056, 30
1057, 29
1058, 28
1059, 29
1060, 27
1061, 28
1062, 28
1063, 29
1064, 30
1065, 30
1066, 33
1067, 33
1068, 33
1069, 31
1070, 32
1071, 30
1072, 30
1073, 31
1074, 31
1075, 30
1076, 27
1077, 25
1078, 28
1079, 27
1080, 27
1081, 25
1082, 25
1083, 25
1084, 25
1085, 25
1086, 25
1087, 26
1088, 27
1089, 28
1090, 28
1091, 29
1092, 28
1093, 31
1094, 30
1095, 33
1096, 34
1097, 35
1098, 33
1099, 32
1100, 31
1101, 33
1102, 31
1103, 32
1104, 32
1105, 31
1106, 32
1107, 32
1108, 32
1109, 31
1110, 32
1111, 31
1112, 30
1113, 29
1114, 29
1115, 31
1116, 34
1117, 35
1118, 36
1119, 36
1120, 37
1121, 37
1122, 35
1123, 34
1124, 36
1125, 35
1126, 34
1127, 34
1128, 34
1129, 33
1130, 31
1131, 29
1132, 27
1133, 26
1134, 25
1135, 24
1136, 24
1137, 24
1138, 25
1139, 23
1140, 23
1141, 23
1142, 24
1143, 24
1144, 25
1145, 25
1146, 24
1147, 22
1148, 22
1149, 20
1150, 20
1151, 20
1152, 21
1153, 22
1154, 20
1155, 18
1156, 17
1157, 15
1158, 14
1159, 14
1160, 14
1161, 14
1162, 15
1163, 16
1164, 16
1165, 18
1166, 19
1167, 20
1168, 20
1169, 21
1170, 21
1171, 20
1172, 20
1173, 21
1174, 22
1175, 20
1176, 21
1177, 19
1178, 16
1179, 15
1180, 14
1181, 15
1182, 14
1183, 14
1184, 13
1185, 13
1186, 13
1187, 13
1188, 13
1189, 13
1190, 14
1191, 15
1192, 15
1193, 15
1194, 15
1195, 14
1196, 13
1197, 10
1198, 9
1199, 9
1200, 9
1201, 10
1202, 10
1203, 11
1204, 8
1205, 8
1206, 8
1207, 8
1208, 10
1209, 10
1210, 9
1211, 9
1212, 8
1213, 8
1214, 7
1215, 7
1216, 7
1217, 7
1218, 7
1219, 7
1220, 6
1221, 5
1222, 5
1223, 5
1224, 6
1225, 6
1226, 6
1227, 6
1228, 6
1229, 7
1230, 8
1231, 8
1232, 8
1233, 9
1234, 7
1235, 7
1236, 7
1237, 8
1238, 6
1239, 6
1240, 5
1241, 5
1242, 5
1243, 5
1244, 5
1245, 5
1246, 5
1247, 5
1248, 6
1249, 6
1250, 6
