Year, Number of Households
800, 14
801, 17
802, 18
803, 18
804, 18
805, 20
806, 19
807, 17
808, 17
809, 18
810, 18
811, 18
812, 16
813, 16
814, 16
815, 16
816, 15
817, 15
818, 14
819, 13
820, 12
821, 14
822, 14
823, 16
824, 17
825, 18
826, 21
827, 21
828, 22
829, 25
830, 25
831, 26
832, 26
833, 26
834, 26
835, 23
836, 22
837, 22
838, 20
839, 20
840, 20
841, 21
842, 24
843, 24
844, 23
845, 22
846, 23
847, 23
848, 27
849, 32
850, 32
851, 34
852, 36
853, 37
854, 39
855, 40
856, 40
857, 40
858, 40
859, 40
860, 38
861, 38
862, 38
863, 37
864, 35
865, 38
866, 39
867, 40
868, 41
869, 43
870, 47
871, 49
872, 51
873, 51
874, 54
875, 57
876, 59
877, 60
878, 59
879, 60
880, 60
881, 62
882, 62
883, 61
884, 61
885, 57
886, 59
887, 58
888, 58
889, 61
890, 65
891, 70
892, 75
893, 79
894, 80
895, 81
896, 84
897, 84
898, 88
899, 90
900, 94
901, 97
902, 99
903, 102
904, 104
905, 104
906, 105
907, 107
908, 113
909, 114
910, 120
911, 126
912, 128
913, 133
914, 138
915, 141
916, 142
917, 143
918, 145
919, 147
920, 148
921, 111
922, 115
923, 120
924, 119
925, 102
926, 103
927, 106
928, 105
929, 106
930, 111
931, 95
932, 98
933, 99
934, 95
935, 91
936, 77
937, 80
938, 77
939, 76
940, 73
941, 68
942, 65
943, 62
944, 54
945, 56
946, 56
947, 55
948, 53
949, 55
950, 56
951, 58
952, 45
953, 48
954, 50
955, 36
956, 37
957, 37
958, 29
959, 26
960, 26
961, 26
962, 25
963, 25
964, 23
965, 23
966, 22
967, 22
968, 23
969, 18
970, 16
971, 16
972, 15
973, 15
974, 16
975, 16
976, 16
977, 14
978, 13
979, 11
980, 11
981, 11
982, 11
983, 11
984, 11
985, 12
986, 13
987, 15
988, 17
989, 17
990, 18
991, 18
992, 17
993, 15
994, 15
995, 16
996, 16
997, 14
998, 16
999, 16
1000, 15
1001, 15
1002, 14
1003, 13
1004, 14
1005, 15
1006, 17
1007, 18
1008, 18
1009, 16
1010, 16
1011, 16
1012, 18
1013, 19
1014, 19
1015, 20
1016, 20
1017, 21
1018, 19
1019, 18
1020, 18
1021, 19
1022, 18
1023, 18
1024, 19
1025, 20
1026, 24
1027, 24
1028, 26
1029, 26
1030, 27
1031, 29
1032, 29
1033, 29
1034, 30
1035, 31
1036, 33
1037, 32
1038, 31
1039, 32
1040, 31
1041, 32
1042, 33
1043, 31
1044, 31
1045, 31
1046, 32
1047, 32
1048, 34
1049, 36
1050, 39
1051, 41
1052, 42
1053, 43
1054, 44
1055, 45
1056, 46
1057, 49
1058, 48
1059, 49
1060, 49
1061, 49
1062, 48
1063, 48
1064, 47
1065, 47
1066, 49
1067, 50
1068, 49
1069, 47
1070, 48
1071, 52
1072, 53
1073, 52
1074, 54
1075, 56
1076, 61
1077, 64
1078, 65
1079, 66
1080, 69
1081, 74
1082, 76
1083, 73
1084, 74
1085, 75
1086, 78
1087, 81
1088, 85
1089, 85
1090, 86
1091, 87
1092, 85
1093, 84
1094, 86
1095, 91
1096, 95
1097, 97
1098, 100
1099, 102
1100, 105
1101, 104
1102, 104
1103, 103
1104, 105
1105, 107
1106, 101
1107, 107
1108, 108
1109, 106
1110, 103
1111, 100
1112, 93
1113, 94
1114, 96
1115, 95
1116, 92
1117, 93
1118, 89
1119, 92
1120, 91
1121, 89
1122, 90
1123, 91
1124, 88
1125, 86
1126, 86
1127, 83
1128, 83
1129, 83
1130, 83
1131, 68
1132, 63
1133, 58
1134, 56
1135, 54
1136, 52
1137, 52
1138, 47
1139, 44
1140, 42
1141, 41
1142, 40
1143, 40
1144, 38
1145, 36
1146, 36
1147, 30
1148, 31
1149, 28
1150, 26
1151, 26
1152, 20
1153, 16
1154, 12
1155, 13
1156, 13
1157, 12
1158, 11
1159, 11
1160, 10
1161, 9
1162, 8
1163, 7
1164, 7
1165, 7
1166, 5
1167, 4
1168, 5
1169, 5
1170, 4
1171, 4
1172, 3
1173, 3
1174, 3
1175, 3
1176, 3
1177, 3
1178, 2
1179, 2
1180, 2
1181, 2
1182, 1
1183, 1
1184, 0
1185, 0
1186, 0
1187, 0
1188, 0
1189, 0
1190, 0
1191, 0
1192, 0
1193, 0
1194, 0
1195, 0
1196, 0
1197, 0
1198, 0
1199, 0
1200, 0
1201, 0
1202, 0
1203, 0
1204, 0
1205, 0
1206, 0
1207, 0
1208, 0
1209, 0
1210, 0
1211, 0
1212, 0
1213, 0
1214, 0
1215, 0
1216, 0
1217, 0
1218, 0
1219, 0
1220, 0
1221, 0
1222, 0
1223, 0
1224, 0
1225, 0
1226, 0
1227, 0
1228, 0
1229, 0
1230, 0
1231, 0
1232, 0
1233, 0
1234, 0
1235, 0
1236, 0
1237, 0
1238, 0
1239, 0
1240, 0
1241, 0
1242, 0
1243, 0
1244, 0
1245, 0
1246, 0
1247, 0
1248, 0
1249, 0
1250, 0
