Year, Number of Households
800, 12
801, 14
802, 11
803, 11
804, 12
805, 12
806, 13
807, 12
808, 13
809, 13
810, 13
811, 13
812, 13
813, 13
814, 13
815, 12
816, 12
817, 12
818, 11
819, 11
820, 11
821, 10
822, 10
823, 12
824, 12
825, 12
826, 12
827, 13
828, 12
829, 12
830, 12
831, 13
832, 13
833, 11
834, 10
835, 9
836, 9
837, 9
838, 9
839, 11
840, 12
841, 10
842, 10
843, 10
844, 11
845, 10
846, 10
847, 10
848, 10
849, 10
850, 11
851, 12
852, 13
853, 14
854, 15
855, 15
856, 14
857, 14
858, 15
859, 16
860, 15
861, 15
862, 16
863, 14
864, 14
865, 14
866, 15
867, 15
868, 15
869, 14
870, 13
871, 13
872, 13
873, 14
874, 15
875, 15
876, 17
877, 15
878, 15
879, 16
880, 16
881, 17
882, 16
883, 16
884, 16
885, 15
886, 14
887, 13
888, 13
889, 12
890, 11
891, 12
892, 12
893, 11
894, 11
895, 10
896, 10
897, 11
898, 12
899, 12
900, 14
901, 16
902, 16
903, 17
904, 15
905, 15
906, 15
907, 16
908, 15
909, 12
910, 11
911, 11
912, 12
913, 12
914, 12
915, 12
916, 12
917, 13
918, 14
919, 14
920, 15
921, 16
922, 15
923, 16
924, 18
925, 20
926, 21
927, 20
928, 20
929, 20
930, 19
931, 18
932, 16
933, 15
934, 15
935, 15
936, 15
937, 16
938, 16
939, 16
940, 16
941, 16
942, 16
943, 18
944, 18
945, 17
946, 18
947, 19
948, 20
949, 19
950, 17
951, 19
952, 18
953, 18
954, 19
955, 20
956, 18
957, 17
958, 17
959, 16
960, 16
961, 16
962, 16
963, 16
964, 17
965, 17
966, 16
967, 17
968, 19
969, 19
970, 19
971, 19
972, 19
973, 19
974, 16
975, 14
976, 13
977, 13
978, 14
979, 14
980, 15
981, 13
982, 13
983, 14
984, 14
985, 13
986, 13
987, 14
988, 15
989, 14
990, 16
991, 15
992, 15
993, 16
994, 15
995, 15
996, 13
997, 13
998, 11
999, 10
1000, 10
1001, 11
1002, 12
1003, 12
1004, 12
1005, 12
1006, 12
1007, 12
1008, 12
1009, 13
1010, 14
1011, 16
1012, 14
1013, 14
1014, 15
1015, 15
1016, 17
1017, 17
1018, 17
1019, 16
1020, 15
1021, 14
1022, 15
1023, 13
1024, 13
1025, 13
1026, 13
1027, 13
1028, 13
1029, 15
1030, 15
1031, 15
1032, 14
1033, 16
1034, 15
1035, 15
1036, 18
1037, 18
1038, 20
1039, 19
1040, 19
1041, 18
1042, 17
1043, 16
1044, 13
1045, 13
1046, 13
1047, 13
1048, 12
1049, 12
1050, 13
1051, 14
1052, 14
1053, 15
1054, 15
1055, 15
1056, 15
1057, 15
1058, 17
1059, 17
1060, 18
1061, 18
1062, 16
1063, 15
1064, 16
1065, 16
1066, 16
1067, 15
1068, 12
1069, 12
1070, 12
1071, 12
1072, 13
1073, 13
1074, 14
1075, 14
1076, 13
1077, 15
1078, 15
1079, 15
1080, 14
1081, 13
1082, 13
1083, 14
1084, 15
1085, 15
1086, 15
1087, 15
1088, 15
1089, 13
1090, 14
1091, 13
1092, 13
1093, 14
1094, 14
1095, 15
1096, 16
1097, 15
1098, 15
1099, 15
1100, 15
1101, 15
1102, 17
1103, 17
1104, 17
1105, 17
1106, 15
1107, 16
1108, 17
1109, 16
1110, 15
1111, 15
1112, 16
1113, 14
1114, 15
1115, 14
1116, 13
1117, 13
1118, 13
1119, 13
1120, 13
1121, 13
1122, 11
1123, 12
1124, 12
1125, 12
1126, 12
1127, 11
1128, 10
1129, 10
1130, 11
1131, 12
1132, 13
1133, 11
1134, 11
1135, 11
1136, 10
1137, 10
1138, 10
1139, 10
1140, 10
1141, 10
1142, 10
1143, 9
1144, 8
1145, 8
1146, 8
1147, 9
1148, 10
1149, 10
1150, 11
1151, 12
1152, 11
1153, 12
1154, 12
1155, 13
1156, 14
1157, 14
1158, 14
1159, 14
1160, 14
1161, 14
1162, 13
1163, 12
1164, 12
1165, 12
1166, 11
1167, 11
1168, 12
1169, 12
1170, 13
1171, 14
1172, 16
1173, 15
1174, 15
1175, 16
1176, 16
1177, 16
1178, 16
1179, 17
1180, 15
1181, 16
1182, 18
1183, 17
1184, 17
1185, 15
1186, 15
1187, 15
1188, 14
1189, 15
1190, 15
1191, 15
1192, 15
1193, 14
1194, 14
1195, 16
1196, 16
1197, 17
1198, 16
1199, 16
1200, 17
1201, 17
1202, 16
1203, 16
1204, 16
1205, 16
1206, 15
1207, 16
1208, 18
1209, 18
1210, 17
1211, 16
1212, 15
1213, 14
1214, 13
1215, 13
1216, 13
1217, 13
1218, 13
1219, 13
1220, 13
1221, 14
1222, 15
1223, 15
1224, 15
1225, 14
1226, 13
1227, 14
1228, 15
1229, 15
1230, 14
1231, 13
1232, 14
1233, 15
1234, 15
1235, 15
1236, 14
1237, 11
1238, 11
1239, 12
1240, 12
1241, 12
1242, 12
1243, 13
1244, 14
1245, 15
1246, 17
1247, 18
1248, 16
1249, 16
1250, 16
